Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
wgp6cuiq,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)",None,1,9,0.0,0.0,0.0,,142,159,29,0
4wveoi59,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,1,12,0.04926108374384237,0.02873563218390805,0.1724137931034483,,132,169,24,5
7q58wut6,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(0, 0, -15, 15))], p=0.5)",None,1,22,0.14678899082568805,0.08465608465608465,0.5517241379310345,,128,173,13,16
7e4iii92,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, 0, 0))], p=0.5)",None,1,26,0.0,0.0,0.0,,145,156,29,0
9wh6fj8g,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-5, 5))], p=0.5)",None,1,22,0.020100502512562814,0.01176470588235294,0.06896551724137931,,133,168,27,2
xuc9jxgk,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",None,1,14,0.06635071090047394,0.038461538461538464,0.2413793103448276,,126,175,22,7
xkuq41qq,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,1,15,0.13761467889908255,0.07936507936507936,0.5172413793103449,,127,174,14,15
ilsr9o7h,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-15, 15))], p=0.5)",None,1,13,0.136986301369863,0.07894736842105263,0.5172413793103449,,126,175,14,15
il9cdfls,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,1,15,0.23236514522821575,0.1320754716981132,0.9655172413793104,,117,184,1,28
gkwnvd40,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,1,17,0.019704433497536943,0.011494252873563218,0.06896551724137931,,129,172,27,2
0s0qqiws,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.0, 0.15))], p=0.5)",None,1,10,0.009950248756218909,0.005813953488372093,0.034482758620689655,,130,171,28,1
