Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,sweep_type,average_metric
"T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3, saturation=0.3, hue=0.3)], p=0.5)",0.1530078511929691,0.3319838056680161,0.0,0.3259275362318841,1.0,0.0,0.255526286164584,0.8723404255319149,0.0,,,,pixel-level,0.209297447863691
"T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)",0.1910018222017159,0.4590163934426229,0.0,0.2693221775188988,1.0,0.0,0.2871168873516636,0.6551724137931034,0.0,,,,pixel-level,0.27910746847790713
"T.RandomApply([T.ColorJitter(contrast=0.1)], p=0.5)",0.1961696762950054,0.5000000000000001,0.0,0.254558625069461,0.9230769230769232,0.0,0.2244041505083324,0.7446808510638298,0.0,,,,pixel-level,0.29808483814750275
"T.RandomApply([T.ColorJitter(contrast=0.3)], p=0.5)",0.2620724109425161,0.6862745098039216,0.0,0.3693699917104173,0.75,0.0,0.2619520432286389,0.7446808510638298,0.0,,,,pixel-level,0.4055460093928267
"T.RandomApply([T.ColorJitter(contrast=0.5)], p=0.5)",0.1820481868104685,0.4,0.0,0.3276041666666666,1.0,0.0,0.2488303501069458,0.7446808510638298,0.0,,,,pixel-level,0.2510240934052343
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 0.5))], p=0.5)",0.2006439446592375,0.4046242774566474,0.0,0.3282222222222222,1.0,0.0,0.2676663289429247,0.7446808510638298,0.0,,,,pixel-level,0.26217168331227775
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 1.5))], p=0.25)",0.2490097445991591,0.6666666666666665,0.0,0.4104429758555257,1.0,0.0,0.2602589215355173,0.7446808510638298,0.0,,,,pixel-level,0.3911715389662461
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 2.0))], p=0.5)",0.2179219234526995,0.631578947368421,0.0,0.4549111807732497,1.0,0.0,0.1889001463469548,0.5106382978723404,0.0,,,,pixel-level,0.36159254067371815
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.5, 1.0))], p=0.5)",0.2213896450668892,0.6862745098039216,0.0,0.3913203463203463,1.0,0.0,0.225973207249803,0.7446808510638298,0.0,,,,pixel-level,0.38520462645501324
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(1.5, 2.0))], p=0.5)",0.2533638944124834,0.6363636363636364,0.0,0.4291989664082687,1.0,0.0,0.2505234718000675,0.7446808510638298,0.0,,,,pixel-level,0.3812274017516963
